Year DOY   SOD           (X)           (Y)           (Z)       (DT)    (TH)    (TW)    (TT)   (SDR)   (SDE)   (SDC)
2017 191  6720   4208830.095   2334850.532   4171267.387      7.266   2.282   0.161   2.443   0.744  12.375  32.448
2017 191  6750   4208830.095   2334850.532   4171267.387      7.843   2.282   0.161   2.443   0.741  12.369  32.448
2017 191  6780   4208830.095   2334850.533   4171267.387      6.842   2.282   0.160   2.443   0.739  12.365  32.446
2017 191  6810   4208830.094   2334850.534   4171267.387      7.223   2.282   0.160   2.443   0.738  12.363  32.442
2017 191  6840   4208830.094   2334850.534   4171267.387      7.254   2.282   0.160   2.443   0.733  12.362  32.438
2017 191  6870   4208830.094   2334850.535   4171267.387      6.876   2.282   0.160   2.443   0.728  12.361  32.434
2017 191  6900   4208830.094   2334850.535   4171267.387      7.059   2.282   0.160   2.442   0.725  12.362  32.430
2017 191  6930   4208830.094   2334850.535   4171267.387      7.227   2.282   0.160   2.442   0.723  12.364  32.431
2017 191  6960   4208830.094   2334850.536   4171267.386      7.444   2.282   0.160   2.442   0.719  12.366  32.431
2017 191  6990   4208830.094   2334850.536   4171267.386      7.636   2.282   0.159   2.442   0.713  12.366  32.428
2017 191  7020   4208830.093   2334850.537   4171267.386      7.384   2.282   0.159   2.442   0.707  12.367  32.425
2017 191  7050   4208830.093   2334850.537   4171267.386      7.484   2.282   0.159   2.442   0.702  12.365  32.422
2017 191  7080   4208830.093   2334850.537   4171267.386      7.273   2.282   0.159   2.441   0.696  12.363  32.422
2017 191  7110   4208830.093   2334850.538   4171267.386      7.579   2.282   0.159   2.441   0.693  12.363  32.422
2017 191  7140   4208830.092   2334850.538   4171267.386      7.617   2.282   0.159   2.441   0.693  12.364  32.422
2017 191  7170   4208830.092   2334850.539   4171267.386      7.862   2.282   0.159   2.441   0.694  12.366  32.422
2017 191  7200   4208830.092   2334850.539   4171267.386      7.772   2.282   0.159   2.441   0.697  12.369  32.423
2017 191  7230   4208830.092   2334850.539   4171267.386      7.528   2.282   0.158   2.441   0.698  12.372  32.423
2017 191  7260   4208830.092   2334850.540   4171267.386      7.519   2.282   0.158   2.441   0.697  12.376  32.422
2017 191  7290   4208830.091   2334850.540   4171267.386      7.526   2.282   0.158   2.440   0.696  12.378  32.421
2017 191  7320   4208830.091   2334850.541   4171267.386      7.492   2.282   0.158   2.440   0.694  12.379  32.420
2017 191  7350   4208830.091   2334850.541   4171267.386      8.114   2.282   0.158   2.440   0.693  12.377  32.419
2017 191  7380   4208830.091   2334850.541   4171267.386      7.850   2.282   0.157   2.440   0.691  12.374  32.421
2017 191  7410   4208830.091   2334850.542   4171267.386      8.015   2.282   0.157   2.439   0.690  12.373  32.423
2017 191  7440   4208830.091   2334850.543   4171267.386      8.176   2.282   0.157   2.439   0.689  12.371  32.424
2017 191  7470   4208830.091   2334850.543   4171267.386      7.344   2.282   0.157   2.439   0.689  12.369  32.422
2017 191  7500   4208830.091   2334850.543   4171267.386      6.849   2.282   0.156   2.439   0.686  12.368  32.422
2017 191  7530   4208830.091   2334850.544   4171267.386      7.210   2.282   0.156   2.439   0.684  12.367  32.422
2017 191  7560   4208830.091   2334850.544   4171267.386      7.491   2.282   0.156   2.438   0.682  12.366  32.424
2017 191  7590   4208830.091   2334850.544   4171267.386      7.455   2.282   0.156   2.438   0.677  12.366  32.425
