Year DOY   SOD           (X)           (Y)           (Z)       (DT)    (TH)    (TW)    (TT)
2017 191  6420   4208830.098   2334850.561   4171267.404      6.353   2.282   0.158   2.440
2017 191  6450   4208830.098   2334850.561   4171267.403      6.538   2.282   0.158   2.440
2017 191  6480   4208830.098   2334850.562   4171267.403      6.208   2.282   0.158   2.440
2017 191  6510   4208830.097   2334850.562   4171267.403      6.802   2.282   0.158   2.440
2017 191  6540   4208830.097   2334850.564   4171267.403      6.762   2.282   0.158   2.440
2017 191  6570   4208830.097   2334850.565   4171267.403      7.691   2.282   0.158   2.440
2017 191  6600   4208830.097   2334850.565   4171267.403      6.799   2.282   0.158   2.440
2017 191  6630   4208830.097   2334850.566   4171267.403      7.361   2.282   0.158   2.440
2017 191  6660   4208830.097   2334850.566   4171267.403      7.273   2.282   0.158   2.440
2017 191  6690   4208830.096   2334850.566   4171267.402      7.956   2.282   0.158   2.440
2017 191  6720   4208830.096   2334850.566   4171267.402      7.292   2.282   0.158   2.440
2017 191  6750   4208830.095   2334850.566   4171267.401      7.869   2.282   0.158   2.440
2017 191  6780   4208830.095   2334850.566   4171267.401      6.867   2.282   0.158   2.440
2017 191  6810   4208830.095   2334850.567   4171267.401      7.247   2.282   0.158   2.440
2017 191  6840   4208830.095   2334850.566   4171267.400      7.277   2.282   0.158   2.440
2017 191  6870   4208830.094   2334850.567   4171267.400      6.900   2.282   0.158   2.440
2017 191  6900   4208830.094   2334850.567   4171267.400      7.084   2.282   0.158   2.440
2017 191  6930   4208830.095   2334850.568   4171267.400      7.250   2.282   0.157   2.440
2017 191  6960   4208830.094   2334850.568   4171267.399      7.469   2.282   0.157   2.440
2017 191  6990   4208830.094   2334850.568   4171267.399      7.660   2.282   0.157   2.440
2017 191  7020   4208830.094   2334850.569   4171267.399      7.408   2.282   0.157   2.439
2017 191  7050   4208830.094   2334850.569   4171267.398      7.509   2.282   0.157   2.439
2017 191  7080   4208830.094   2334850.570   4171267.398      7.300   2.282   0.157   2.439
2017 191  7110   4208830.094   2334850.570   4171267.398      7.605   2.282   0.157   2.439
2017 191  7140   4208830.094   2334850.571   4171267.398      7.642   2.282   0.157   2.439
2017 191  7170   4208830.093   2334850.571   4171267.398      7.886   2.282   0.157   2.439
2017 191  7200   4208830.093   2334850.571   4171267.397      7.795   2.282   0.156   2.439
2017 191  7230   4208830.093   2334850.572   4171267.397      7.551   2.282   0.156   2.439
2017 191  7260   4208830.093   2334850.572   4171267.397      7.542   2.282   0.156   2.439
2017 191  7290   4208830.092   2334850.573   4171267.397      7.549   2.282   0.156   2.438
2017 191  7320   4208830.092   2334850.573   4171267.397      7.514   2.282   0.156   2.438
2017 191  7350   4208830.092   2334850.573   4171267.397      8.135   2.282   0.156   2.438
2017 191  7380   4208830.092   2334850.574   4171267.396      7.872   2.282   0.156   2.438
2017 191  7410   4208830.092   2334850.574   4171267.396      8.035   2.282   0.155   2.438
2017 191  7440   4208830.092   2334850.575   4171267.396      8.197   2.282   0.155   2.438
2017 191  7470   4208830.092   2334850.575   4171267.396      7.365   2.282   0.155   2.437
2017 191  7500   4208830.092   2334850.575   4171267.395      6.870   2.282   0.155   2.437
2017 191  7530   4208830.092   2334850.575   4171267.395      7.230   2.282   0.155   2.437
2017 191  7560   4208830.092   2334850.575   4171267.395      7.511   2.282   0.155   2.437
